t,j1_pos,j2_pos,l1_angpos,l2_angpos,tor1
52.51,-3817.24549947367,40.1946698893129,0.461516590647159,-1.47083054188567,-0.911239240166155
52.52,-3818.17569992938,40.0546942060525,-0.210425362071545,-0.435609245278281,0.901413933707419
52.53,-3819.15106716278,39.7624541696103,-1.14062581776812,0.354615527165537,0.965407792498969
52.54,-3819.85834556549,40.3924949998645,-1.02559960239676,1.03774272411346,0.470511207346307
52.55,-3820.85834556549,39.5838618389648,-0.318321199692009,0.76653069649053,-0.106385058006934
52.56,-3821.55894126533,39.9802976777476,0.681678800300294,0.575163857392349,1.64108910934058
52.57,-3822.20268719808,40.5246320240273,1.38227450010182,-0.521867681213581,2.14931168832507
52.58,-3823.20268719808,39.7339143480217,1.11557222068622,-1.43164469329184,1.17449803743548
52.59,-3823.9613852006,39.8425386028126,0.115572220699223,-1.22236236932707,0.109724537165004
52.6,-3824.55318104564,40.4586438371533,-0.643125781814788,-0.355040112032371,1.61875819284267
52.61,-3825.55318104564,39.8794934405353,-1.23492162684097,0.852860967338599,-1.64887834237729
52.62,-3826.44544202047,39.7265010183479,-0.906671026720879,1.27371057070629,1.40046149552619
52.63,-3827.05347284425,40.5154118629315,-0.0144100518983401,1.12861353020355,0.948235363415518
52.64,-3828.05347284425,39.6935561862264,0.593620771879893,-0.268328138146744,1.18941664826756
52.65,-3828.78952840113,39.8721977996966,1.54797188140982,-0.446472461440285,-1.30338926841493
52.66,-3829.39073783111,40.4531613263511,0.811916324818414,-1.36116963176189,2.66054266769543
52.67,-3830.39073783111,39.8918400180741,0.210706894844623,-0.598250065157708,-0.244767625444918
52.68,-3831.27471244656,39.7527077335651,-0.789293105147135,-0.159571373438158,2.3556573102085
52.69,-3831.88941861846,40.4905120615751,-1.46832493291807,0.585270957499443,2.30441368917793
52.7,-3832.88941861846,39.7432281396034,-0.853618761081139,1.20381119616358,-0.0933242175775257
52.71,-3833.66880915952,39.8486782800502,0.146381238910131,0.951095118143371,1.73899551730047
52.72,-3834.26299783569,40.5086954693737,0.925771779968436,0.0662544366392607,2.14354525890173
52.73,-3835.26299783569,39.8364511420102,1.51996045601049,-1.18795142883275,0.827510621810284
52.74,-3836.08961605578,39.7833374462857,0.621632197441872,-1.5157071013636,-1.30753167602637
52.75,-3836.71083773973,40.3961148205154,-0.204986022644662,-0.852381027727847,1.8706055340128
52.76,-3837.71083773973,39.8604794822232,-0.826207706587277,0.381618030439986,-2.14311336059634
52.77,-3838.58577022353,39.8138696788476,-1.31538494696936,0.845982692142902,0.0541254533301858
52.78,-3839.25122728645,40.4498084521672,-0.440452463193868,1.46728728095182,2.67751445810195
52.79,-3840.25122728645,39.6737891150199,0.225004599725769,0.165891444771701,-0.404695418194223
52.8,-3840.98842928502,39.9205047993851,1.22500459970859,-0.0580892180795018,-1.64846079253904
52.81,-3841.63462092396,40.4360862913937,1.17938605527879,-1.04200690100087,0.688068574121592
52.82,-3842.63462092396,39.7596242382335,0.533194416350392,-0.937812621618827,-2.57143108721208
52.83,-3843.43759412715,39.8537249036214,-0.466805583642226,-0.614274674783457,-1.81083314080164
52.84,-3844.0907191544,40.4264056083011,-1.2697787868144,0.282799193788242,-2.66606793603509
52.85,-3845.0907191544,39.6608858034656,-1.21868883948657,1.50860492561033,2.05310738093966
52.86,-3845.80613767627,39.9879681913711,-0.218688839503429,1.39850753266784,1.4556312900651
52.87,-3846.48221576622,40.4235917866762,0.496729682362885,0.356006622927202,2.6367321394408
52.88,-3847.48221576622,39.7291194062802,1.17280777229266,-0.755695062311244,0.564790532329404
52.89,-3848.23291914698,39.9581455391605,0.968784881271268,-1.06122268190952,-1.27855143472477
52.9,-3848.93098278612,40.3420268352584,0.218081500512655,-1.1006404580077,1.43253487089608
52.91,-3849.93098278612,39.7512020520141,-0.479982138615008,-0.0186955227902216,0.85792085999408
52.92,-3850.69153351561,40.0435713051633,-1.47998213854444,0.390479693962525,-0.689743565152732
52.93,-3851.50579293151,40.1930816623493,-0.901059785467091,1.44339967655755,0.27208731101338
52.94,-3852.50579293151,39.6953209903471,-0.0868003695724263,0.734423203884898,0.057718138146154
52.95,-3853.21331726204,40.2644857907644,0.913199630418251,0.232183875891667,-1.94354861934143
52.96,-3854.21331726204,39.8012265090341,1.52086869250522,-1.04450525503503,2.15488214186452
52.97,-3854.97481338398,40.1498257298,0.520868692636362,-1.56034667962789,-2.08213929079321
52.98,-3855.93586907632,39.9306554637288,-0.24062742930415,-0.450251337558239,2.98434827588075
52.99,-3856.77591910806,40.0898681880209,-1.20168312162824,0.291634088705142,2.29700840779306
53,-3857.70138752082,39.9845949383915,-1.09985950019699,1.2908968447097,-0.00509303659413218
53.01,-3858.59986082388,39.9766551078133,-0.174391087439971,1.0305006457057,-1.51395316380453
53.02,-3859.47078456564,40.0694263177702,0.724082215607618,0.139967173239492,-1.98183963617711
53.03,-3860.43332440966,39.8871364034992,1.54658669593606,-0.823727778470733,2.97102578899298
53.04,-3861.21259818841,40.2706912128628,0.584046852186739,-1.53761494515613,-0.224217154187607
53.05,-3862.21259818841,39.6593921332024,-0.195226926552405,-0.374786357248112,-2.44643803045837
53.06,-3862.94537832744,40.0973027924542,-1.19522692653663,0.0139145630887139,-0.395828890987121
53.07,-3863.80736995709,40.1817585507729,-1.21358558798279,1.18460536135919,1.00230650483629
53.08,-3864.80736995709,39.6357369133804,-0.351593958355905,1.01053990424199,-1.37205438921716
53.09,-3865.5025211876,40.2519906068374,0.648406041636508,0.556561541641068,-1.80917061697317
53.1,-3866.5025211876,39.8600603200396,1.34355727212514,-0.754843382318007,2.03799129123392
53.11,-3867.31146179761,40.0982883792477,0.798035381428562,-1.36291309549459,0.206070729937896
53.12,-3868.22895921991,40.0062978300101,-0.0109052285778967,-0.731510888835559,-1.96060622007489
53.13,-3869.16068131405,39.8868347432912,-0.928402650865447,0.0939959842166122,-2.97778083893386
53.14,-3869.97808625039,40.1767506375029,-1.28146790855379,0.906254991628605,0.766099655080026
53.15,-3870.97808625039,39.8065432401904,-0.464062972227922,1.12801683138144,0.34160011671552
53.16,-3871.75291730252,40.2207294469109,0.535937027764695,0.49822422870449,-2.507636807906
53.17,-3872.75291730252,39.7386657950943,1.31076807986939,-0.690793030132725,-2.64807558281791
53.18,-3873.50925326091,40.155724427132,0.830824573687656,-1.20872937830391,1.80278549122133
53.19,-3874.44736884513,40.0415371734081,0.0744886153040049,-0.759468684833451,-1.06331666090128
53.2,-3875.43409048771,39.7796267843574,-0.863626968904173,0.0644596456523932,-2.26314025697295
53.21,-3876.18475123906,40.3533084485364,-1.29124404206963,0.789270899179909,1.49781454227966
53.22,-3877.18475123906,39.5670840002849,-0.540583290744894,1.02797933886871,-1.0486853129254
53.23,-3877.88648334302,40.0018337772254,0.459416709247719,0.814203787124208,1.7369310767927
53.24,-3878.55797811377,40.5102328501353,1.16114881319531,-0.322278093766727,1.88861379135783
53.25,-3879.55797811377,39.6604391280372,1.30894906959733,-1.50217193733713,0.68767488585719
53.26,-3880.28328454008,39.868874172685,0.308949069620345,-1.4892144381701,1.1931739889851
53.27,-3880.84932673293,40.5380643716098,-0.416357356682698,-0.555472967292475,-1.68341133328242
53.28,-3881.84932673293,39.8508162289081,-0.982399549527936,0.679759424475095,-2.01112518330532
53.29,-3882.7267331947,39.6597833013501,-1.15919310403629,0.992511281768471,-1.00928297651627
53.3,-3883.31822033926,40.4616550933346,-0.281786642282899,1.46270783753994,0.264189660841376
53.31,-3884.31822033926,39.7624685645264,0.309700502270039,0.0693489010600962,-2.70926765184778
53.32,-3885.12436854648,39.825421748759,1.30970050224695,-0.231464570129668,-1.43043589912084
53.33,-3885.74541193806,40.464123179551,1.02574394408617,-1.10056596157096,0.513319052049589
53.34,-3886.74541193806,39.769577661033,0.404700552513178,-0.781281869625686,2.50257949358986
53.35,-3887.51144362711,39.9183820187542,-0.595299447479364,-0.475827388146913,1.91443349104643
53.36,-3888.1629522846,40.4053719498034,-1.36133113650641,0.439008658621913,-1.65464094145692
53.37,-3889.1629522846,39.7211134712621,-1.12875285955056,1.5640854054235,2.44714467645722
